Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
62	16:46:23	16:46:23	16:46:23	16:46:23	16:46:23	16:46:23			16:46:23	16:46:23	16:46:23	16:46:23	16:46:27	16:46:27	16:46:27	16:46:27	16:46:27	16:46:27			16:46:29	16:46:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:05
63	16:46:29	16:46:29	16:46:29	16:46:29	16:46:29	16:46:29			16:46:29	16:46:29	16:46:29	16:46:29	16:46:33	16:46:33	16:46:33	16:46:33	16:46:33	16:46:33			16:46:35	16:46:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
64	16:46:35	16:46:35	16:46:35	16:46:35	16:46:35	16:46:35			16:46:35	16:46:35	16:46:35	16:46:35	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39			16:46:40	16:46:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
65	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41			16:46:41	16:46:41	16:46:41	16:46:41	16:46:45	16:46:45	16:46:45	16:46:45	16:46:45	16:46:45			16:46:47	16:46:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
66	16:46:47	16:46:47	16:46:47	16:46:47	16:46:47	16:46:47			16:46:47	16:46:47	16:46:47	16:46:47	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51			16:46:53	16:46:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
67	16:46:53	16:46:53	16:46:53	16:46:53	16:46:53	16:46:53			16:46:53	16:46:53	16:46:53	16:46:53	16:46:57	16:46:57	16:46:57	16:46:57	16:46:57	16:46:57			16:46:59	16:46:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
68	16:46:59	16:46:59	16:46:59	16:46:59	16:46:59	16:46:59			16:46:59	16:46:59	16:46:59	16:46:59	16:47:04	16:47:04	16:47:04	16:47:04	16:47:04	16:47:04			16:47:05	16:47:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
69	16:47:05	16:47:05	16:47:05	16:47:05	16:47:05	16:47:05			16:47:05	16:47:05	16:47:06	16:47:06	16:47:10	16:47:10	16:47:10	16:47:10	16:47:10	16:47:10			16:47:12	16:47:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
70	16:47:12	16:47:12	16:47:12	16:47:12	16:47:12	16:47:12			16:47:12	16:47:12	16:47:13	16:47:13	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18	16:47:21	16:47:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:03	00:00:08
71	16:47:21	16:47:21	16:47:21	16:47:21	16:47:21	16:47:21			16:47:21	16:47:21	16:47:21	16:47:21	16:47:25	16:47:25	16:47:25	16:47:25	16:47:25	16:47:25			16:47:26	16:47:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
72	16:47:27	16:47:27	16:47:27	16:47:27	16:47:27	16:47:27			16:47:27	16:47:27	16:47:27	16:47:27	16:47:31	16:47:31	16:47:31	16:47:31	16:47:31	16:47:31			16:47:34	16:47:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
73	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34			16:47:34	16:47:34	16:47:34	16:47:34	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38			16:47:39	16:47:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
74	16:47:39	16:47:39	16:47:39	16:47:39	16:47:39	16:47:39			16:47:39	16:47:39	16:47:39	16:47:39	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43			16:47:46	16:47:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
